,tag
3178,dog_bark
6983,siren
7908,street_music
8155,street_music
5937,jackhammer
1851,children_playing
1864,children_playing
6341,jackhammer
2307,children_playing
2710,dog_bark
1300,car_horn
4438,engine_idling
8083,street_music
169,air_conditioner
8316,street_music
4865,engine_idling
7640,siren
8718,street_music
1191,car_horn
5173,engine_idling
4332,drilling
23,air_conditioner
1267,car_horn
8128,street_music
7846,street_music
5786,gun_shot
2559,dog_bark
1459,children_playing
7850,street_music
5033,engine_idling
848,air_conditioner
560,air_conditioner
4294,drilling
7187,siren
4323,drilling
2856,dog_bark
2416,children_playing
1084,car_horn
2875,dog_bark
1538,children_playing
6674,jackhammer
5282,engine_idling
1720,children_playing
3343,dog_bark
3051,dog_bark
1097,car_horn
5637,gun_shot
8370,street_music
8043,street_music
7068,siren
7594,siren
2743,dog_bark
1341,car_horn
8062,street_music
8330,street_music
7293,siren
3054,dog_bark
3065,dog_bark
519,air_conditioner
2520,dog_bark
7139,siren
1070,car_horn
7660,siren
4665,engine_idling
1781,children_playing
4880,engine_idling
7455,siren
6535,jackhammer
3751,drilling
5835,jackhammer
2250,children_playing
653,air_conditioner
2640,dog_bark
8444,street_music
7992,street_music
170,air_conditioner
4498,engine_idling
8004,street_music
619,air_conditioner
823,air_conditioner
6996,siren
3641,drilling
1975,children_playing
912,air_conditioner
793,air_conditioner
3043,dog_bark
4520,engine_idling
5175,engine_idling
7062,siren
6047,jackhammer
4857,engine_idling
104,air_conditioner
7690,siren
1629,children_playing
8094,street_music
941,air_conditioner
6473,jackhammer
3740,drilling
6091,jackhammer
5466,gun_shot
3131,dog_bark
6951,siren
592,air_conditioner
2480,dog_bark
8440,street_music
183,air_conditioner
2187,children_playing
8551,street_music
6219,jackhammer
3195,dog_bark
4238,drilling
3387,dog_bark
2181,children_playing
6770,jackhammer
3306,dog_bark
7726,siren
124,air_conditioner
8035,street_music
6582,jackhammer
4181,drilling
8556,street_music
7221,siren
8295,street_music
7369,siren
925,air_conditioner
6659,jackhammer
2486,dog_bark
7279,siren
4809,engine_idling
1354,car_horn
6267,jackhammer
123,air_conditioner
6160,jackhammer
3663,drilling
4462,engine_idling
1372,car_horn
7569,siren
8055,street_music
3957,drilling
7160,siren
393,air_conditioner
1044,car_horn
3854,drilling
1626,children_playing
3914,drilling
185,air_conditioner
7881,street_music
2312,children_playing
6825,siren
5499,gun_shot
1948,children_playing
3874,drilling
5353,engine_idling
4391,drilling
8404,street_music
3512,drilling
4419,drilling
4124,drilling
2059,children_playing
3646,drilling
670,air_conditioner
5487,gun_shot
3308,dog_bark
6222,jackhammer
8465,street_music
4523,engine_idling
6336,jackhammer
215,air_conditioner
4727,engine_idling
3644,drilling
3201,dog_bark
7965,street_music
5653,gun_shot
6376,jackhammer
2066,children_playing
8099,street_music
6877,siren
5134,engine_idling
8101,street_music
1544,children_playing
7902,street_music
7264,siren
8704,street_music
1774,children_playing
6758,jackhammer
3128,dog_bark
2102,children_playing
390,air_conditioner
1941,children_playing
5511,gun_shot
2725,dog_bark
5531,gun_shot
2613,dog_bark
7976,street_music
7083,siren
5825,jackhammer
4496,engine_idling
3332,dog_bark
2778,dog_bark
2065,children_playing
2727,dog_bark
6905,siren
4297,drilling
347,air_conditioner
8301,street_music
7641,siren
3898,drilling
900,air_conditioner
5510,gun_shot
5598,gun_shot
703,air_conditioner
959,air_conditioner
1302,car_horn
7654,siren
5492,gun_shot
6670,jackhammer
2277,children_playing
498,air_conditioner
7975,street_music
3097,dog_bark
3119,dog_bark
4684,engine_idling
8201,street_music
3588,drilling
7441,siren
1793,children_playing
2843,dog_bark
7982,street_music
5232,engine_idling
5584,gun_shot
6315,jackhammer
8117,street_music
5208,engine_idling
3607,drilling
3852,drilling
1890,children_playing
523,air_conditioner
2236,children_playing
7991,street_music
5925,jackhammer
6161,jackhammer
8198,street_music
7967,street_music
3752,drilling
2197,children_playing
2909,dog_bark
2622,dog_bark
1359,car_horn
3659,drilling
735,air_conditioner
6002,jackhammer
7024,siren
5923,jackhammer
6763,jackhammer
1040,car_horn
1707,children_playing
8353,street_music
7301,siren
7925,street_music
4625,engine_idling
2165,children_playing
6955,siren
5709,gun_shot
657,air_conditioner
3435,drilling
2789,dog_bark
952,air_conditioner
3849,drilling
2986,dog_bark
3521,drilling
1515,children_playing
3299,dog_bark
4974,engine_idling
1472,children_playing
365,air_conditioner
6772,jackhammer
6884,siren
3193,dog_bark
309,air_conditioner
1443,children_playing
1239,car_horn
2026,children_playing
6643,jackhammer
4406,drilling
6138,jackhammer
3570,drilling
3808,drilling
4827,engine_idling
4022,drilling
6895,siren
4431,engine_idling
1478,children_playing
6120,jackhammer
5502,gun_shot
2119,children_playing
4938,engine_idling
8646,street_music
8241,street_music
7776,street_music
1428,car_horn
4687,engine_idling
5162,engine_idling
3672,drilling
575,air_conditioner
5640,gun_shot
1122,car_horn
5568,gun_shot
2080,children_playing
7026,siren
3638,drilling
1380,car_horn
1439,children_playing
4532,engine_idling
1290,car_horn
2930,dog_bark
6301,jackhammer
3309,dog_bark
3541,drilling
7361,siren
4458,engine_idling
1094,car_horn
3758,drilling
896,air_conditioner
5482,gun_shot
3079,dog_bark
2794,dog_bark
7527,siren
1373,car_horn
2941,dog_bark
7581,siren
8578,street_music
257,air_conditioner
6449,jackhammer
5697,gun_shot
5879,jackhammer
6053,jackhammer
5957,jackhammer
5894,jackhammer
7712,siren
4521,engine_idling
3688,drilling
7759,street_music
8496,street_music
4723,engine_idling
8302,street_music
1640,children_playing
8492,street_music
5443,gun_shot
226,air_conditioner
5077,engine_idling
7607,siren
6957,siren
2190,children_playing
400,air_conditioner
1523,children_playing
3093,dog_bark
8420,street_music
1624,children_playing
6671,jackhammer
8050,street_music
4151,drilling
5866,jackhammer
3789,drilling
3184,dog_bark
2759,dog_bark
5345,engine_idling
4737,engine_idling
4490,engine_idling
8064,street_music
406,air_conditioner
6969,siren
5142,engine_idling
7746,street_music
661,air_conditioner
6888,siren
3746,drilling
5707,gun_shot
7760,street_music
2628,dog_bark
3950,drilling
720,air_conditioner
6060,jackhammer
8093,street_music
141,air_conditioner
7368,siren
291,air_conditioner
2882,dog_bark
5330,engine_idling
5235,engine_idling
7781,street_music
2539,dog_bark
1766,children_playing
8682,street_music
2338,children_playing
2556,dog_bark
7980,street_music
874,air_conditioner
3125,dog_bark
2770,dog_bark
3654,drilling
4689,engine_idling
8165,street_music
6185,jackhammer
8661,street_music
1433,children_playing
7138,siren
1268,car_horn
0,air_conditioner
4237,drilling
5455,gun_shot
7458,siren
3984,drilling
1346,car_horn
2144,children_playing
32,air_conditioner
4932,engine_idling
4234,drilling
1884,children_playing
1840,children_playing
7741,street_music
7355,siren
5390,engine_idling
3403,dog_bark
5374,engine_idling
4470,engine_idling
7470,siren
4315,drilling
6218,jackhammer
4518,engine_idling
4771,engine_idling
3666,drilling
6556,jackhammer
6822,siren
5075,engine_idling
2575,dog_bark
2501,dog_bark
7500,siren
4379,drilling
3134,dog_bark
7643,siren
3336,dog_bark
29,air_conditioner
1960,children_playing
6455,jackhammer
1288,car_horn
6183,jackhammer
7099,siren
3501,drilling
3495,drilling
2586,dog_bark
6232,jackhammer
8629,street_music
1417,car_horn
4034,drilling
4123,drilling
1490,children_playing
1542,children_playing
3841,drilling
3727,drilling
5737,gun_shot
345,air_conditioner
486,air_conditioner
7216,siren
1212,car_horn
6501,jackhammer
5027,engine_idling
7585,siren
4283,drilling
5708,gun_shot
7948,street_music
6221,jackhammer
3858,drilling
7884,street_music
4866,engine_idling
3675,drilling
6968,siren
3540,drilling
109,air_conditioner
7245,siren
8235,street_music
4781,engine_idling
7358,siren
7231,siren
3072,dog_bark
6804,siren
459,air_conditioner
4079,drilling
7110,siren
6949,siren
3366,dog_bark
234,air_conditioner
5171,engine_idling
1064,car_horn
195,air_conditioner
101,air_conditioner
4615,engine_idling
5988,jackhammer
501,air_conditioner
8417,street_music
2939,dog_bark
4290,drilling
3742,drilling
7822,street_music
1301,car_horn
500,air_conditioner
5416,engine_idling
4390,drilling
5780,gun_shot
7731,siren
7306,siren
8695,street_music
8296,street_music
1190,car_horn
8423,street_music
5263,engine_idling
7289,siren
5166,engine_idling
7739,street_music
3565,drilling
7320,siren
4477,engine_idling
7597,siren
7838,street_music
2728,dog_bark
8036,street_music
5936,jackhammer
6345,jackhammer
1875,children_playing
1278,car_horn
5086,engine_idling
2029,children_playing
6272,jackhammer
7515,siren
8258,street_music
4736,engine_idling
4789,engine_idling
2686,dog_bark
5105,engine_idling
511,air_conditioner
6873,siren
4871,engine_idling
2506,dog_bark
6089,jackhammer
1321,car_horn
2444,dog_bark
6610,jackhammer
1133,car_horn
6290,jackhammer
7530,siren
8486,street_music
4085,drilling
3865,drilling
6197,jackhammer
4059,drilling
1080,car_horn
6214,jackhammer
5822,jackhammer
1949,children_playing
3729,drilling
1316,car_horn
2880,dog_bark
6114,jackhammer
6100,jackhammer
2440,dog_bark
7774,street_music
3549,drilling
5343,engine_idling
635,air_conditioner
6147,jackhammer
5299,engine_idling
3085,dog_bark
7785,street_music
1714,children_playing
5039,engine_idling
6177,jackhammer
82,air_conditioner
2724,dog_bark
5938,jackhammer
5397,engine_idling
1954,children_playing
4918,engine_idling
7755,street_music
7412,siren
5131,engine_idling
4552,engine_idling
1385,car_horn
2352,children_playing
6199,jackhammer
7007,siren
5622,gun_shot
828,air_conditioner
3089,dog_bark
5760,gun_shot
119,air_conditioner
504,air_conditioner
5952,jackhammer
436,air_conditioner
6032,jackhammer
3356,dog_bark
4110,drilling
1606,children_playing
1110,car_horn
1262,car_horn
6234,jackhammer
6440,jackhammer
883,air_conditioner
3572,drilling
6956,siren
914,air_conditioner
4025,drilling
3859,drilling
1672,children_playing
5639,gun_shot
4222,drilling
4193,drilling
3404,dog_bark
2013,children_playing
979,air_conditioner
4708,engine_idling
680,air_conditioner
2361,children_playing
7799,street_music
7266,siren
1457,children_playing
4818,engine_idling
214,air_conditioner
1071,car_horn
7766,street_music
2310,children_playing
4457,engine_idling
4760,engine_idling
8249,street_music
3405,dog_bark
5275,engine_idling
1155,car_horn
8365,street_music
8410,street_music
253,air_conditioner
5930,jackhammer
5812,jackhammer
3173,dog_bark
6058,jackhammer
3996,drilling
4169,drilling
7158,siren
1932,children_playing
6258,jackhammer
3941,drilling
7830,street_music
2467,dog_bark
5674,gun_shot
2717,dog_bark
7867,street_music
1322,car_horn
1306,car_horn
8108,street_music
5322,engine_idling
3002,dog_bark
5496,gun_shot
2563,dog_bark
7662,siren
2149,children_playing
2617,dog_bark
3530,drilling
3328,dog_bark
8273,street_music
3369,dog_bark
6464,jackhammer
497,air_conditioner
7115,siren
3785,drilling
4178,drilling
1261,car_horn
8262,street_music
7614,siren
1536,children_playing
746,air_conditioner
4832,engine_idling
2697,dog_bark
3105,dog_bark
1533,children_playing
2294,children_playing
686,air_conditioner
6842,siren
4324,drilling
2252,children_playing
6039,jackhammer
1494,children_playing
5616,gun_shot
6472,jackhammer
1430,children_playing
3158,dog_bark
5007,engine_idling
5813,jackhammer
3667,drilling
424,air_conditioner
769,air_conditioner
726,air_conditioner
6148,jackhammer
3104,dog_bark
3141,dog_bark
8430,street_music
4080,drilling
556,air_conditioner
1173,car_horn
2615,dog_bark
1990,children_playing
2134,children_playing
3656,drilling
7343,siren
3923,drilling
3023,dog_bark
2216,children_playing
7340,siren
1920,children_playing
1783,children_playing
1283,car_horn
7550,siren
4147,drilling
2251,children_playing
678,air_conditioner
6340,jackhammer
2524,dog_bark
1572,children_playing
5742,gun_shot
2371,children_playing
6265,jackhammer
2248,children_playing
8503,street_music
333,air_conditioner
4697,engine_idling
1520,children_playing
5058,engine_idling
6803,siren
4149,drilling
4102,drilling
5594,gun_shot
5573,gun_shot
5552,gun_shot
1171,car_horn
2163,children_playing
6166,jackhammer
298,air_conditioner
8623,street_music
4850,engine_idling
4349,drilling
7954,street_music
4101,drilling
6865,siren
2195,children_playing
1847,children_playing
5576,gun_shot
6042,jackhammer
4735,engine_idling
2088,children_playing
7006,siren
3364,dog_bark
721,air_conditioner
5257,engine_idling
7274,siren
5514,gun_shot
8001,street_music
5497,gun_shot
4199,drilling
5278,engine_idling
343,air_conditioner
3382,dog_bark
7262,siren
569,air_conditioner
2342,children_playing
1907,children_playing
4662,engine_idling
5108,engine_idling
8145,street_music
5651,gun_shot
2865,dog_bark
3601,drilling
67,air_conditioner
462,air_conditioner
7516,siren
4766,engine_idling
3610,drilling
7141,siren
6323,jackhammer
8199,street_music
7689,siren
5634,gun_shot
4852,engine_idling
3411,dog_bark
4354,drilling
7188,siren
6495,jackhammer
1985,children_playing
4299,drilling
8138,street_music
8011,street_music
1143,car_horn
5326,engine_idling
6764,jackhammer
7008,siren
2222,children_playing
3261,dog_bark
4241,drilling
972,air_conditioner
6416,jackhammer
4179,drilling
37,air_conditioner
771,air_conditioner
4060,drilling
8168,street_music
6107,jackhammer
7977,street_music
217,air_conditioner
4640,engine_idling
3459,drilling
3871,drilling
4906,engine_idling
2055,children_playing
7391,siren
7434,siren
1887,children_playing
983,air_conditioner
189,air_conditioner
3142,dog_bark
6540,jackhammer
6673,jackhammer
7657,siren
2217,children_playing
4838,engine_idling
3098,dog_bark
3732,drilling
8607,street_music
1704,children_playing
6167,jackhammer
3314,dog_bark
2232,children_playing
7433,siren
1438,children_playing
2716,dog_bark
6493,jackhammer
1270,car_horn
5211,engine_idling
1525,children_playing
6468,jackhammer
7459,siren
5656,gun_shot
1702,children_playing
2077,children_playing
6431,jackhammer
800,air_conditioner
2329,children_playing
641,air_conditioner
5079,engine_idling
2820,dog_bark
1608,children_playing
7875,street_music
4242,drilling
94,air_conditioner
4417,drilling
3359,dog_bark
2540,dog_bark
2722,dog_bark
2394,children_playing
4908,engine_idling
1446,children_playing
1350,car_horn
3175,dog_bark
517,air_conditioner
2907,dog_bark
985,air_conditioner
4758,engine_idling
6321,jackhammer
8177,street_music
5061,engine_idling
6909,siren
2620,dog_bark
6128,jackhammer
2386,children_playing
6530,jackhammer
3734,drilling
1060,car_horn
5840,jackhammer
4772,engine_idling
7398,siren
8433,street_music
4629,engine_idling
4212,drilling
7926,street_music
2816,dog_bark
7626,siren
8648,street_music
2199,children_playing
1565,children_playing
4456,engine_idling
461,air_conditioner
4037,drilling
7595,siren
5147,engine_idling
1878,children_playing
1353,car_horn
644,air_conditioner
8570,street_music
1082,car_horn
2610,dog_bark
2895,dog_bark
5258,engine_idling
1419,car_horn
3091,dog_bark
4443,engine_idling
2760,dog_bark
102,air_conditioner
3226,dog_bark
3181,dog_bark
7893,street_music
776,air_conditioner
4628,engine_idling
4271,drilling
3487,drilling
4724,engine_idling
6716,jackhammer
1952,children_playing
6011,jackhammer
4909,engine_idling
6033,jackhammer
4146,drilling
4720,engine_idling
3014,dog_bark
5081,engine_idling
2528,dog_bark
5244,engine_idling
5181,engine_idling
3523,drilling
4223,drilling
3029,dog_bark
3042,dog_bark
98,air_conditioner
3293,dog_bark
1657,children_playing
4547,engine_idling
8368,street_music
6191,jackhammer
7038,siren
1251,car_horn
1116,car_horn
6934,siren
1189,car_horn
3660,drilling
1314,car_horn
5623,gun_shot
1211,car_horn
5585,gun_shot
3503,drilling
460,air_conditioner
7543,siren
1232,car_horn
3439,drilling
727,air_conditioner
7620,siren
2146,children_playing
6441,jackhammer
4048,drilling
4273,drilling
718,air_conditioner
4447,engine_idling
5405,engine_idling
3291,dog_bark
7909,street_music
230,air_conditioner
6864,siren
146,air_conditioner
2164,children_playing
4926,engine_idling
2189,children_playing
980,air_conditioner
5426,engine_idling
1641,children_playing
5752,gun_shot
6430,jackhammer
7966,street_music
6847,siren
7584,siren
7821,street_music
5887,jackhammer
5874,jackhammer
2604,dog_bark
8518,street_music
1504,children_playing
6087,jackhammer
5313,engine_idling
8702,street_music
4474,engine_idling
8017,street_music
1422,car_horn
8024,street_music
7559,siren
8226,street_music
7335,siren
1888,children_playing
6498,jackhammer
7209,siren
6155,jackhammer
5856,jackhammer
8419,street_music
3685,drilling
6617,jackhammer
4636,engine_idling
4644,engine_idling
7039,siren
541,air_conditioner
4588,engine_idling
1319,car_horn
1517,children_playing
3678,drilling
4194,drilling
6579,jackhammer
2133,children_playing
4804,engine_idling
264,air_conditioner
2376,children_playing
45,air_conditioner
1369,car_horn
594,air_conditioner
2876,dog_bark
631,air_conditioner
5302,engine_idling
1986,children_playing
5205,engine_idling
6451,jackhammer
3533,drilling
1661,children_playing
4298,drilling
7683,siren
2902,dog_bark
2738,dog_bark
689,air_conditioner
289,air_conditioner
2956,dog_bark
8680,street_music
6408,jackhammer
4138,drilling
4412,drilling
5259,engine_idling
3152,dog_bark
3927,drilling
4011,drilling
7442,siren
3824,drilling
8616,street_music
7146,siren
6993,siren
5534,gun_shot
3153,dog_bark
7917,street_music
1856,children_playing
8491,street_music
5332,engine_idling
4955,engine_idling
6698,jackhammer
5798,gun_shot
6500,jackhammer
491,air_conditioner
2136,children_playing
8604,street_music
6583,jackhammer
2671,dog_bark
1198,car_horn
4171,drilling
3124,dog_bark
1902,children_playing
5921,jackhammer
7840,street_music
2430,dog_bark
1741,children_playing
929,air_conditioner
3695,drilling
8516,street_music
2530,dog_bark
4608,engine_idling
7742,street_music
6266,jackhammer
6360,jackhammer
2269,children_playing
6233,jackhammer
1276,car_horn
6178,jackhammer
3112,dog_bark
4822,engine_idling
8158,street_music
6626,jackhammer
1912,children_playing
8320,street_music
6620,jackhammer
2489,dog_bark
770,air_conditioner
7509,siren
4094,drilling
3118,dog_bark
4013,drilling
6127,jackhammer
6313,jackhammer
8185,street_music
7466,siren
1651,children_playing
5304,engine_idling
6422,jackhammer
4104,drilling
3269,dog_bark
958,air_conditioner
4986,engine_idling
5711,gun_shot
5548,gun_shot
5971,jackhammer
7338,siren
5307,engine_idling
3576,drilling
6988,siren
6164,jackhammer
5959,jackhammer
3916,drilling
3367,dog_bark
7959,street_music
4426,drilling
6212,jackhammer
8692,street_music
431,air_conditioner
2401,children_playing
7113,siren
6437,jackhammer
903,air_conditioner
7510,siren
8294,street_music
313,air_conditioner
8167,street_music
7260,siren
8019,street_music
7475,siren
8667,street_music
3073,dog_bark
4416,drilling
2737,dog_bark
7609,siren
3483,drilling
4441,engine_idling
1087,car_horn
2590,dog_bark
7964,street_music
4062,drilling
7705,siren
7616,siren
5554,gun_shot
7999,street_music
8413,street_music
5985,jackhammer
3498,drilling
6684,jackhammer
7734,street_music
2291,children_playing
7120,siren
593,air_conditioner
4318,drilling
260,air_conditioner
1249,car_horn
4127,drilling
6262,jackhammer
7365,siren
7768,street_music
5351,engine_idling
6268,jackhammer
5224,engine_idling
7479,siren
1753,children_playing
8559,street_music
6090,jackhammer
3215,dog_bark
1258,car_horn
772,air_conditioner
5515,gun_shot
8349,street_music
879,air_conditioner
4567,engine_idling
677,air_conditioner
7103,siren
1999,children_playing
2106,children_playing
2821,dog_bark
6036,jackhammer
1429,children_playing
5525,gun_shot
3213,dog_bark
4317,drilling
3711,drilling
5133,engine_idling
8314,street_music
4603,engine_idling
1642,children_playing
3921,drilling
196,air_conditioner
2089,children_playing
991,air_conditioner
3728,drilling
4036,drilling
8049,street_music
6639,jackhammer
2419,children_playing
779,air_conditioner
64,air_conditioner
2207,children_playing
6382,jackhammer
1119,car_horn
6344,jackhammer
5819,jackhammer
708,air_conditioner
6811,siren
4542,engine_idling
6092,jackhammer
6964,siren
7836,street_music
3205,dog_bark
2178,children_playing
5319,engine_idling
7561,siren
6683,jackhammer
6695,jackhammer
3169,dog_bark
2206,children_playing
5541,gun_shot
5453,gun_shot
789,air_conditioner
1329,car_horn
1396,car_horn
6607,jackhammer
5404,engine_idling
589,air_conditioner
6395,jackhammer
834,air_conditioner
3464,drilling
2600,dog_bark
299,air_conditioner
1611,children_playing
756,air_conditioner
6320,jackhammer
5789,gun_shot
5721,gun_shot
5188,engine_idling
8184,street_music
6973,siren
151,air_conditioner
1112,car_horn
302,air_conditioner
6073,jackhammer
3896,drilling
1843,children_playing
5089,engine_idling
4001,drilling
1179,car_horn
6346,jackhammer
90,air_conditioner
6691,jackhammer
74,air_conditioner
6650,jackhammer
5458,gun_shot
5008,engine_idling
6288,jackhammer
5597,gun_shot
7816,street_music
2889,dog_bark
3492,drilling
7157,siren
1467,children_playing
1669,children_playing
7494,siren
1558,children_playing
6611,jackhammer
7531,siren
7644,siren
7907,street_music
5356,engine_idling
5207,engine_idling
7790,street_music
4118,drilling
5480,gun_shot
5543,gun_shot
3183,dog_bark
4205,drilling
1673,children_playing
8219,street_music
4069,drilling
8289,street_music
7646,siren
2961,dog_bark
437,air_conditioner
934,air_conditioner
4211,drilling
8285,street_music
5890,jackhammer
8200,street_music
6354,jackhammer
6227,jackhammer
2561,dog_bark
2988,dog_bark
7058,siren
2769,dog_bark
7313,siren
3730,drilling
7756,street_music
4507,engine_idling
4903,engine_idling
1367,car_horn
8372,street_music
4115,drilling
7147,siren
3311,dog_bark
8272,street_music
2226,children_playing
1601,children_playing
3452,drilling
2718,dog_bark
6397,jackhammer
5788,gun_shot
5389,engine_idling
3894,drilling
4554,engine_idling
888,air_conditioner
5085,engine_idling
5702,gun_shot
1698,children_playing
4097,drilling
5605,gun_shot
3639,drilling
3597,drilling
3954,drilling
663,air_conditioner
6153,jackhammer
629,air_conditioner
6926,siren
1234,car_horn
8238,street_music
1798,children_playing
8615,street_music
8149,street_music
923,air_conditioner
927,air_conditioner
2268,children_playing
7408,siren
3282,dog_bark
5431,gun_shot
622,air_conditioner
6898,siren
1154,car_horn
2099,children_playing
2432,dog_bark
6765,jackhammer
5010,engine_idling
5112,engine_idling
3542,drilling
149,air_conditioner
2075,children_playing
7269,siren
2800,dog_bark
4285,drilling
549,air_conditioner
8242,street_music
387,air_conditioner
5198,engine_idling
1644,children_playing
2661,dog_bark
3017,dog_bark
6839,siren
6366,jackhammer
2264,children_playing
8269,street_music
1532,children_playing
5153,engine_idling
1582,children_playing
2018,children_playing
7312,siren
7536,siren
6223,jackhammer
6380,jackhammer
2326,children_playing
2092,children_playing
7374,siren
5355,engine_idling
5222,engine_idling
2494,dog_bark
4047,drilling
1498,children_playing
5567,gun_shot
4351,drilling
8151,street_music
2455,dog_bark
5740,gun_shot
7757,street_music
4961,engine_idling
2995,dog_bark
7842,street_music
7043,siren
6169,jackhammer
2641,dog_bark
6372,jackhammer
7824,street_music
1924,children_playing
1027,car_horn
8240,street_music
5158,engine_idling
4941,engine_idling
6123,jackhammer
329,air_conditioner
1795,children_playing
7899,street_music
930,air_conditioner
2638,dog_bark
2593,dog_bark
2417,children_playing
1200,car_horn
5295,engine_idling
2267,children_playing
5624,gun_shot
8217,street_music
2755,dog_bark
490,air_conditioner
227,air_conditioner
5530,gun_shot
7130,siren
8310,street_music
6172,jackhammer
3107,dog_bark
6628,jackhammer
6613,jackhammer
4407,drilling
467,air_conditioner
10,air_conditioner
1548,children_playing
4810,engine_idling
845,air_conditioner
8141,street_music
2793,dog_bark
4319,drilling
1618,children_playing
4996,engine_idling
3960,drilling
7990,street_music
6448,jackhammer
6068,jackhammer
6271,jackhammer
515,air_conditioner
1002,car_horn
276,air_conditioner
1474,children_playing
4023,drilling
4375,drilling
5375,engine_idling
5371,engine_idling
4623,engine_idling
8456,street_music
4372,drilling
1901,children_playing
22,air_conditioner
8726,street_music
5045,engine_idling
1776,children_playing
1849,children_playing
8567,street_music
2868,dog_bark
7114,siren
7477,siren
2552,dog_bark
304,air_conditioner
846,air_conditioner
6460,jackhammer
3395,dog_bark
6654,jackhammer
4634,engine_idling
352,air_conditioner
7116,siren
6420,jackhammer
7661,siren
2786,dog_bark
4476,engine_idling
6093,jackhammer
5369,engine_idling
6737,jackhammer
1167,car_horn
3723,drilling
8271,street_music
154,air_conditioner
6520,jackhammer
5672,gun_shot
5347,engine_idling
445,air_conditioner
5120,engine_idling
660,air_conditioner
2180,children_playing
1631,children_playing
2239,children_playing
2942,dog_bark
3408,dog_bark
5927,jackhammer
4004,drilling
5932,jackhammer
2742,dog_bark
5929,jackhammer
8545,street_music
1724,children_playing
2732,dog_bark
6648,jackhammer
3625,drilling
4005,drilling
3857,drilling
3425,dog_bark
95,air_conditioner
1012,car_horn
7801,street_music
143,air_conditioner
7444,siren
5939,jackhammer
8442,street_music
1787,children_playing
6696,jackhammer
193,air_conditioner
1383,car_horn
6216,jackhammer
8317,street_music
1700,children_playing
648,air_conditioner
2414,children_playing
8722,street_music
729,air_conditioner
1240,car_horn
3783,drilling
6566,jackhammer
7514,siren
6140,jackhammer
7685,siren
1477,children_playing
1943,children_playing
7453,siren
2348,children_playing
2198,children_playing
2587,dog_bark
8121,street_music
4472,engine_idling
224,air_conditioner
3287,dog_bark
7944,street_music
568,air_conditioner
8696,street_music
3664,drilling
3844,drilling
5716,gun_shot
9,air_conditioner
526,air_conditioner
8469,street_music
4040,drilling
6004,jackhammer
3276,dog_bark
7719,siren
3239,dog_bark
5165,engine_idling
2431,dog_bark
440,air_conditioner
5164,engine_idling
7687,siren
1486,children_playing
6921,siren
3415,dog_bark
3714,drilling
5722,gun_shot
1418,car_horn
1589,children_playing
380,air_conditioner
6485,jackhammer
2039,children_playing
3031,dog_bark
7074,siren
4098,drilling
710,air_conditioner
606,air_conditioner
4611,engine_idling
5268,engine_idling
6870,siren
2643,dog_bark
910,air_conditioner
4163,drilling
3715,drilling
2668,dog_bark
5512,gun_shot
4051,drilling
2151,children_playing
8548,street_music
8407,street_music
7053,siren
7492,siren
1168,car_horn
5124,engine_idling
1263,car_horn
5553,gun_shot
4627,engine_idling
5172,engine_idling
8003,street_music
1786,children_playing
939,air_conditioner
4602,engine_idling
7321,siren
1859,children_playing
1893,children_playing
920,air_conditioner
115,air_conditioner
